"fecha","encuestadora","party","percentage_points","coalition"
2023-08-04,"Atlas Intel​","Sergio Massa",24.1,"Unión por la Patria"
2023-08-04,"Atlas Intel​","Juan Grabois",6.7,"Unión por la Patria"
2023-08-04,"Atlas Intel​","Horacio Rodríguez Larreta",12.7,"Juntos por el Cambio"
2023-08-04,"Atlas Intel​","Patricia Bullrich",19.2,"Juntos por el Cambio"
2023-08-03,"Federico González & Asociados​","Sergio Massa",23.8,"Unión por la Patria"
2023-08-03,"Federico González & Asociados​","Juan Grabois",6.3,"Unión por la Patria"
2023-08-03,"Federico González & Asociados​","Horacio Rodríguez Larreta",16.3,"Juntos por el Cambio"
2023-08-03,"Federico González & Asociados​","Patricia Bullrich",20.1,"Juntos por el Cambio"
2023-08-02,"Opina Argentina​","Sergio Massa",28,"Unión por la Patria"
2023-08-02,"Opina Argentina​","Juan Grabois",3,"Unión por la Patria"
2023-08-02,"Opina Argentina​","Horacio Rodríguez Larreta",16,"Juntos por el Cambio"
2023-08-02,"Opina Argentina​","Patricia Bullrich",16,"Juntos por el Cambio"
2023-08-01,"Opinión Pública Servicios y Mercados​","Sergio Massa",23.7,"Unión por la Patria"
2023-08-01,"Opinión Pública Servicios y Mercados​","Juan Grabois",6.2,"Unión por la Patria"
2023-08-01,"Opinión Pública Servicios y Mercados​","Horacio Rodríguez Larreta",11.3,"Juntos por el Cambio"
2023-08-01,"Opinión Pública Servicios y Mercados​","Patricia Bullrich",24.3,"Juntos por el Cambio"
2023-07-31,"Giacobbe & Asociados​","Sergio Massa",25.1,"Unión por la Patria"
2023-07-31,"Giacobbe & Asociados​","Juan Grabois",7.1,"Unión por la Patria"
2023-07-31,"Giacobbe & Asociados​","Horacio Rodríguez Larreta",13.2,"Juntos por el Cambio"
2023-07-31,"Giacobbe & Asociados​","Patricia Bullrich",24.8,"Juntos por el Cambio"
2023-07-31,"Proyección Consultores​​","Sergio Massa",25.9,"Unión por la Patria"
2023-07-31,"Proyección Consultores​​","Juan Grabois",5.2,"Unión por la Patria"
2023-07-31,"Proyección Consultores​​","Horacio Rodríguez Larreta",13.9,"Juntos por el Cambio"
2023-07-31,"Proyección Consultores​​","Patricia Bullrich",20.4,"Juntos por el Cambio"
2023-07-29,"CB Consultora​","Sergio Massa",25.3,"Unión por la Patria"
2023-07-29,"CB Consultora​","Juan Grabois",4.9,"Unión por la Patria"
2023-07-29,"CB Consultora​","Horacio Rodríguez Larreta",14.3,"Juntos por el Cambio"
2023-07-29,"CB Consultora​","Patricia Bullrich",18.7,"Juntos por el Cambio"
2023-07-29,"CIGP​","Sergio Massa",21.6,"Unión por la Patria"
2023-07-29,"CIGP​","Juan Grabois",9.6,"Unión por la Patria"
2023-07-29,"CIGP​","Horacio Rodríguez Larreta",13.9,"Juntos por el Cambio"
2023-07-29,"CIGP​","Patricia Bullrich",22.6,"Juntos por el Cambio"
2023-07-29,"Hugo Haime Consultora​","Sergio Massa",27.5,"Unión por la Patria"
2023-07-29,"Hugo Haime Consultora​","Juan Grabois",4.6,"Unión por la Patria"
2023-07-29,"Hugo Haime Consultora​","Horacio Rodríguez Larreta",14.5,"Juntos por el Cambio"
2023-07-29,"Hugo Haime Consultora​","Patricia Bullrich",18.1,"Juntos por el Cambio"
2023-07-27,"Circuitos​","Sergio Massa",25.5,"Unión por la Patria"
2023-07-27,"Circuitos​","Juan Grabois",4.8,"Unión por la Patria"
2023-07-27,"Circuitos​","Horacio Rodríguez Larreta",13.9,"Juntos por el Cambio"
2023-07-27,"Circuitos​","Patricia Bullrich",20.9,"Juntos por el Cambio"
2023-07-27,"Management & Fit​","Sergio Massa",25.3,"Unión por la Patria"
2023-07-27,"Management & Fit​","Juan Grabois",6,"Unión por la Patria"
2023-07-27,"Management & Fit​","Horacio Rodríguez Larreta",18.2,"Juntos por el Cambio"
2023-07-27,"Management & Fit​","Patricia Bullrich",16.3,"Juntos por el Cambio"
2023-07-23,"CEOP​","Sergio Massa",23.1,"Unión por la Patria"
2023-07-23,"CEOP​","Juan Grabois",5.4,"Unión por la Patria"
2023-07-23,"CEOP​","Horacio Rodríguez Larreta",14,"Juntos por el Cambio"
2023-07-23,"CEOP​","Patricia Bullrich",16.3,"Juntos por el Cambio"
2023-07-25,"Políticos en Redes​","Sergio Massa",19.6,"Unión por la Patria"
2023-07-25,"Políticos en Redes​","Juan Grabois",5.6,"Unión por la Patria"
2023-07-25,"Políticos en Redes​","Horacio Rodríguez Larreta",11.9,"Juntos por el Cambio"
2023-07-25,"Políticos en Redes​","Patricia Bullrich",19.3,"Juntos por el Cambio"
2023-07-21,"Federico González & Asociados​","Sergio Massa",22.9,"Unión por la Patria"
2023-07-21,"Federico González & Asociados​","Juan Grabois",5.1,"Unión por la Patria"
2023-07-21,"Federico González & Asociados​","Horacio Rodríguez Larreta",13.1,"Juntos por el Cambio"
2023-07-21,"Federico González & Asociados​","Patricia Bullrich",21.1,"Juntos por el Cambio"
2023-07-21,"Nueva Comunicación​","Sergio Massa",24,"Unión por la Patria"
2023-07-21,"Nueva Comunicación​","Juan Grabois",4,"Unión por la Patria"
2023-07-21,"Nueva Comunicación​","Horacio Rodríguez Larreta",16,"Juntos por el Cambio"
2023-07-21,"Nueva Comunicación​","Patricia Bullrich",13,"Juntos por el Cambio"
2023-07-19,"Atlas Intel​","Sergio Massa",26,"Unión por la Patria"
