"fecha","encuestadora","muestra","party","percentage_points"
2023-07-31,"Proyección Consultores​​",2130,"Revolucion ciudadana",31.1
2023-07-31,"Proyección Consultores​​",2130,"Avanza",25.3
2023-07-31,"Proyección Consultores​​",2130,"Unidad popular",19.1
2023-07-31,"Proyección Consultores​​",2130,"Movimiento construye",2.4
2023-07-31,"Proyección Consultores​​",2130,"Movimiento Reto",2.2
2023-07-31,"Proyección Consultores​​",2130,"Otros - Blanco - Indecisos",10.9
2023-07-29,"Quito encuestas",1985,"Revolucion ciudadana",30.4
2023-07-29,"Quito encuestas",1985,"Avanza",24
2023-07-29,"Quito encuestas",1985,"Unidad popular",20.3
2023-07-29,"Quito encuestas",1985,"Movimiento construye",4.9
2023-07-29,"Quito encuestas",1985,"Movimiento Reto",1.5
2023-07-29,"Quito encuestas",1985,"Otros - Blanco - Indecisos",9.9
2023-07-29,"Cuenca consultores",1602,"Revolucion ciudadana",31.2
2023-07-29,"Cuenca consultores",1602,"Avanza",27.5
2023-07-29,"Cuenca consultores",1602,"Unidad popular",13.8
2023-07-29,"Cuenca consultores",1602,"Movimiento construye",NA
2023-07-29,"Cuenca consultores",1602,"Movimiento Reto",2.8
2023-07-29,"Cuenca consultores",1602,"Otros - Blanco - Indecisos",15.7
2023-07-29,"Hugo Haime Consultora​",NA,"Revolucion ciudadana",32.1
2023-07-29,"Hugo Haime Consultora​",NA,"Avanza",23.5
2023-07-29,"Hugo Haime Consultora​",NA,"Unidad popular",22
2023-07-29,"Hugo Haime Consultora​",NA,"Movimiento construye",4.3
2023-07-29,"Hugo Haime Consultora​",NA,"Movimiento Reto",2.4
2023-07-29,"Hugo Haime Consultora​",NA,"Otros - Blanco - Indecisos",6
2023-07-29,"Hugo Haime Consultora​",NA,"Revolucion ciudadana",32.8
2023-07-29,"Hugo Haime Consultora​",NA,"Avanza",19.1
2023-07-29,"Hugo Haime Consultora​",NA,"Unidad popular",23.3
2023-07-29,"Hugo Haime Consultora​",NA,"Movimiento construye",4.2
2023-07-29,"Hugo Haime Consultora​",NA,"Movimiento Reto",3.3
2023-07-29,"Hugo Haime Consultora​",NA,"Otros - Blanco - Indecisos",8
2023-07-29,"Hugo Haime Consultora​",NA,"Revolucion ciudadana",32.3
2023-07-29,"Hugo Haime Consultora​",NA,"Avanza",18.8
2023-07-29,"Hugo Haime Consultora​",NA,"Unidad popular",24.4
2023-07-29,"Hugo Haime Consultora​",NA,"Movimiento construye",5.4
2023-07-29,"Hugo Haime Consultora​",NA,"Movimiento Reto",2.5
2023-07-29,"Hugo Haime Consultora​",NA,"Otros - Blanco - Indecisos",7.2
2023-07-27,"Poder Ciudadano",2180,"Revolucion ciudadana",30.1
